	id_sent	head	dep	SCORE	type	sent	Title	Author	Created	Sphere	Type	Topic	Publication	Publ_year	Medium
27	1	адресовано	оно	0	nsubj:pass	Сотрудница канцелярии вскрыла одно из писем -- оно было адресовано прокурору области.	Прокуратуру хотели заразить // «Криминальная хроника», 2003.06.10		2003	нехудожественная | публицистика	заметка	криминал	«Криминальная хроника»	2003.06.10	газета
28	1	адресовано	было	0	aux:pass	Сотрудница канцелярии вскрыла одно из писем -- оно было адресовано прокурору области.	Прокуратуру хотели заразить // «Криминальная хроника», 2003.06.10		2003	нехудожественная | публицистика	заметка	криминал	«Криминальная хроника»	2003.06.10	газета
30	1	адресовано	прокурору	0	iobj	Сотрудница канцелярии вскрыла одно из писем -- оно было адресовано прокурору области.	Прокуратуру хотели заразить // «Криминальная хроника», 2003.06.10		2003	нехудожественная | публицистика	заметка	криминал	«Криминальная хроника»	2003.06.10	газета
31	1	прокурору	области	0	nmod	Сотрудница канцелярии вскрыла одно из писем -- оно было адресовано прокурору области.	Прокуратуру хотели заразить // «Криминальная хроника», 2003.06.10		2003	нехудожественная | публицистика	заметка	криминал	«Криминальная хроника»	2003.06.10	газета
32	2	браков	от	0	case	От смешанных браков не всегда рождаются гениальные дети.	Андрей Тимофеев. Volvo S40/V40 (1996-1999) $9500 // «Автопилот», 2002.08.15	Андрей Тимофеев	2002	нехудожественная | публицистика	статья	техника	«Автопилот»	2002.08.15	журнал
33	2	браков	смешанных	2	amod	От смешанных браков не всегда рождаются гениальные дети.	Андрей Тимофеев. Volvo S40/V40 (1996-1999) $9500 // «Автопилот», 2002.08.15	Андрей Тимофеев	2002	нехудожественная | публицистика	статья	техника	«Автопилот»	2002.08.15	журнал
34	2	рождаются	браков	0	obl	От смешанных браков не всегда рождаются гениальные дети.	Андрей Тимофеев. Volvo S40/V40 (1996-1999) $9500 // «Автопилот», 2002.08.15	Андрей Тимофеев	2002	нехудожественная | публицистика	статья	техника	«Автопилот»	2002.08.15	журнал
35	2	всегда	не	1	advmod	От смешанных браков не всегда рождаются гениальные дети.	Андрей Тимофеев. Volvo S40/V40 (1996-1999) $9500 // «Автопилот», 2002.08.15	Андрей Тимофеев	2002	нехудожественная | публицистика	статья	техника	«Автопилот»	2002.08.15	журнал
36	2	рождаются	всегда	0	advmod	От смешанных браков не всегда рождаются гениальные дети.	Андрей Тимофеев. Volvo S40/V40 (1996-1999) $9500 // «Автопилот», 2002.08.15	Андрей Тимофеев	2002	нехудожественная | публицистика	статья	техника	«Автопилот»	2002.08.15	журнал
37	2	дети	гениальные	0	amod	От смешанных браков не всегда рождаются гениальные дети.	Андрей Тимофеев. Volvo S40/V40 (1996-1999) $9500 // «Автопилот», 2002.08.15	Андрей Тимофеев	2002	нехудожественная | публицистика	статья	техника	«Автопилот»	2002.08.15	журнал
38	2	рождаются	дети	0	nsubj	От смешанных браков не всегда рождаются гениальные дети.	Андрей Тимофеев. Volvo S40/V40 (1996-1999) $9500 // «Автопилот», 2002.08.15	Андрей Тимофеев	2002	нехудожественная | публицистика	статья	техника	«Автопилот»	2002.08.15	журнал
39	3	стоит	пусть	0	advmod	Пусть игра стоит свеч									
40	3	стоит	игра	3	nsubj	Пусть игра стоит свеч									
41	3	стоит	свеч	3	nsubj	Пусть игра стоит свеч									
44	5	года	небольшим	2	amod	Было Сеньке 2 с небольшим года.	Запись LiveJournal (2004)		2004	нехудожественная | электронная коммуникация	блог	частная жизнь		2004	электронный текст
45	5	сеньке	года	0	nmod	Было Сеньке 2 с небольшим года.	Запись LiveJournal (2004)		2004	нехудожественная | электронная коммуникация	блог	частная жизнь		2004	электронный текст
46	6	гуляния	рекламные	2	amod	РЕКЛаМНЫЕ ГУЛЯНИЯ В СеВЕРНОЙ ПАЛЬМиРЕ.	Рекламные гуляния в Северной Пальмире // «Рекламный мир», 2003.04.28		2003	нехудожественная | публицистика	статья	бизнес, коммерция, экономика, финансы	«Рекламный мир»	2003.04.28	журнал
47	6	пальмире	в	0	case	РЕКЛаМНЫЕ ГУЛЯНИЯ В СеВЕРНОЙ ПАЛЬМиРЕ.	Рекламные гуляния в Северной Пальмире // «Рекламный мир», 2003.04.28		2003	нехудожественная | публицистика	статья	бизнес, коммерция, экономика, финансы	«Рекламный мир»	2003.04.28	журнал
48	6	пальмире	северной	0	amod	РЕКЛаМНЫЕ ГУЛЯНИЯ В СеВЕРНОЙ ПАЛЬМиРЕ.	Рекламные гуляния в Северной Пальмире // «Рекламный мир», 2003.04.28		2003	нехудожественная | публицистика	статья	бизнес, коммерция, экономика, финансы	«Рекламный мир»	2003.04.28	журнал
49	7	конце	в	2	case	В конце прошлого года она провела в подмосковном Новопетровском детском доме новогодний праздник.	Новый год от Schering // «100% здоровья», 2003.01.15		2003	нехудожественная | публицистика	заметка	частная жизнь	«100% здоровья»	2003.01.15	журнал
50	7	провела	конце	0	obl	В конце прошлого года она провела в подмосковном Новопетровском детском доме новогодний праздник.	Новый год от Schering // «100% здоровья», 2003.01.15		2003	нехудожественная | публицистика	заметка	частная жизнь	«100% здоровья»	2003.01.15	журнал
51	7	года	прошлого	0	amod	В конце прошлого года она провела в подмосковном Новопетровском детском доме новогодний праздник.	Новый год от Schering // «100% здоровья», 2003.01.15		2003	нехудожественная | публицистика	заметка	частная жизнь	«100% здоровья»	2003.01.15	журнал
52	7	конце	года	0	nmod	В конце прошлого года она провела в подмосковном Новопетровском детском доме новогодний праздник.	Новый год от Schering // «100% здоровья», 2003.01.15		2003	нехудожественная | публицистика	заметка	частная жизнь	«100% здоровья»	2003.01.15	журнал
53	7	провела	она	0	nsubj	В конце прошлого года она провела в подмосковном Новопетровском детском доме новогодний праздник.	Новый год от Schering // «100% здоровья», 2003.01.15		2003	нехудожественная | публицистика	заметка	частная жизнь	«100% здоровья»	2003.01.15	журнал
54	7	доме	в	0	case	В конце прошлого года она провела в подмосковном Новопетровском детском доме новогодний праздник.	Новый год от Schering // «100% здоровья», 2003.01.15		2003	нехудожественная | публицистика	заметка	частная жизнь	«100% здоровья»	2003.01.15	журнал
55	7	доме	подмосковном	0	amod	В конце прошлого года она провела в подмосковном Новопетровском детском доме новогодний праздник.	Новый год от Schering // «100% здоровья», 2003.01.15		2003	нехудожественная | публицистика	заметка	частная жизнь	«100% здоровья»	2003.01.15	журнал
56	7	доме	новопетровском	0	amod	В конце прошлого года она провела в подмосковном Новопетровском детском доме новогодний праздник.	Новый год от Schering // «100% здоровья», 2003.01.15		2003	нехудожественная | публицистика	заметка	частная жизнь	«100% здоровья»	2003.01.15	журнал
57	7	доме	детском	2	amod	В конце прошлого года она провела в подмосковном Новопетровском детском доме новогодний праздник.	Новый год от Schering // «100% здоровья», 2003.01.15		2003	нехудожественная | публицистика	заметка	частная жизнь	«100% здоровья»	2003.01.15	журнал
58	7	провела	доме	0	obl	В конце прошлого года она провела в подмосковном Новопетровском детском доме новогодний праздник.	Новый год от Schering // «100% здоровья», 2003.01.15		2003	нехудожественная | публицистика	заметка	частная жизнь	«100% здоровья»	2003.01.15	журнал
59	7	праздник	новогодний	0	amod	В конце прошлого года она провела в подмосковном Новопетровском детском доме новогодний праздник.	Новый год от Schering // «100% здоровья», 2003.01.15		2003	нехудожественная | публицистика	заметка	частная жизнь	«100% здоровья»	2003.01.15	журнал
60	7	провела	праздник	0	obj	В конце прошлого года она провела в подмосковном Новопетровском детском доме новогодний праздник.	Новый год от Schering // «100% здоровья», 2003.01.15		2003	нехудожественная | публицистика	заметка	частная жизнь	«100% здоровья»	2003.01.15	журнал
61	8	сегодня	только	0	advmod	Только сегодня добрался до возможности ответить на письмо.	Письмо мужчины к женщине (2003)		2003	нехудожественная | бытовая	письмо личное	частная жизнь			рукопись
62	8	добрался	сегодня	0	advmod	Только сегодня добрался до возможности ответить на письмо.	Письмо мужчины к женщине (2003)		2003	нехудожественная | бытовая	письмо личное	частная жизнь			рукопись
63	8	возможности	до	0	case	Только сегодня добрался до возможности ответить на письмо.	Письмо мужчины к женщине (2003)		2003	нехудожественная | бытовая	письмо личное	частная жизнь			рукопись
64	8	добрался	возможности	1	obl	Только сегодня добрался до возможности ответить на письмо.	Письмо мужчины к женщине (2003)		2003	нехудожественная | бытовая	письмо личное	частная жизнь			рукопись
65	8	возможности	ответить	0	nmod	Только сегодня добрался до возможности ответить на письмо.	Письмо мужчины к женщине (2003)		2003	нехудожественная | бытовая	письмо личное	частная жизнь			рукопись
66	8	письмо	на	0	case	Только сегодня добрался до возможности ответить на письмо.	Письмо мужчины к женщине (2003)		2003	нехудожественная | бытовая	письмо личное	частная жизнь			рукопись
67	8	ответить	письмо	0	obl	Только сегодня добрался до возможности ответить на письмо.	Письмо мужчины к женщине (2003)		2003	нехудожественная | бытовая	письмо личное	частная жизнь			рукопись
68	10	нравятся	мне	0	iobj	Мне очень нравятся светлые замшевые перчатки,  но купить их я не решаюсь.	Вопрос -- ответ // «Даша», 2004		2004	нехудожественная | публицистика	совет	дом и домашнее хозяйство	«Даша»	2004	журнал
69	10	нравятся	очень	0	advmod	Мне очень нравятся светлые замшевые перчатки,  но купить их я не решаюсь.	Вопрос -- ответ // «Даша», 2004		2004	нехудожественная | публицистика	совет	дом и домашнее хозяйство	«Даша»	2004	журнал
70	10	перчатки	светлые	0	amod	Мне очень нравятся светлые замшевые перчатки,  но купить их я не решаюсь.	Вопрос -- ответ // «Даша», 2004		2004	нехудожественная | публицистика	совет	дом и домашнее хозяйство	«Даша»	2004	журнал
71	10	перчатки	замшевые	0	amod	Мне очень нравятся светлые замшевые перчатки,  но купить их я не решаюсь.	Вопрос -- ответ // «Даша», 2004		2004	нехудожественная | публицистика	совет	дом и домашнее хозяйство	«Даша»	2004	журнал
72	10	нравятся	перчатки	0	nsubj	Мне очень нравятся светлые замшевые перчатки,  но купить их я не решаюсь.	Вопрос -- ответ // «Даша», 2004		2004	нехудожественная | публицистика	совет	дом и домашнее хозяйство	«Даша»	2004	журнал
73	10	решаюсь	но	0	cc	Мне очень нравятся светлые замшевые перчатки,  но купить их я не решаюсь.	Вопрос -- ответ // «Даша», 2004		2004	нехудожественная | публицистика	совет	дом и домашнее хозяйство	«Даша»	2004	журнал
74	10	решаюсь	купить	0	xcomp	Мне очень нравятся светлые замшевые перчатки,  но купить их я не решаюсь.	Вопрос -- ответ // «Даша», 2004		2004	нехудожественная | публицистика	совет	дом и домашнее хозяйство	«Даша»	2004	журнал
75	10	купить	их	0	obj	Мне очень нравятся светлые замшевые перчатки,  но купить их я не решаюсь.	Вопрос -- ответ // «Даша», 2004		2004	нехудожественная | публицистика	совет	дом и домашнее хозяйство	«Даша»	2004	журнал
76	10	решаюсь	я	0	nsubj	Мне очень нравятся светлые замшевые перчатки,  но купить их я не решаюсь.	Вопрос -- ответ // «Даша», 2004		2004	нехудожественная | публицистика	совет	дом и домашнее хозяйство	«Даша»	2004	журнал
77	10	решаюсь	не	0	advmod	Мне очень нравятся светлые замшевые перчатки,  но купить их я не решаюсь.	Вопрос -- ответ // «Даша», 2004		2004	нехудожественная | публицистика	совет	дом и домашнее хозяйство	«Даша»	2004	журнал
79	12	последователи	нобелевские	2	amod	Нобелевские последователи									
80	13	крайностями	с	0	case	Борьба с крайностями									
81	14	предвидит	корифей	0	nsubj	"Корифей отечественной журналистики Отто ЛАЦИС предвидит,  что скоро опять будем слушать ""голоса"". Сейчас,  когда речь заходит о свободе слова в России,  принято говорить о возвращении к советской практике цензуры."	Дмитрий Фролов. Цензура с рыночным лицом // «Совершенно секретно», 2003.04.08	Дмитрий Фролов	2003	нехудожественная | публицистика	статья	бизнес, коммерция, экономика, финансы	«Совершенно секретно»	2003.04.08	газета
82	14	журналистики	отечественной	0	amod	"Корифей отечественной журналистики Отто ЛАЦИС предвидит,  что скоро опять будем слушать ""голоса"". Сейчас,  когда речь заходит о свободе слова в России,  принято говорить о возвращении к советской практике цензуры."	Дмитрий Фролов. Цензура с рыночным лицом // «Совершенно секретно», 2003.04.08	Дмитрий Фролов	2003	нехудожественная | публицистика	статья	бизнес, коммерция, экономика, финансы	«Совершенно секретно»	2003.04.08	газета
85	14	слушать	скоро	0	advmod	"Корифей отечественной журналистики Отто ЛАЦИС предвидит,  что скоро опять будем слушать ""голоса"". Сейчас,  когда речь заходит о свободе слова в России,  принято говорить о возвращении к советской практике цензуры."	Дмитрий Фролов. Цензура с рыночным лицом // «Совершенно секретно», 2003.04.08	Дмитрий Фролов	2003	нехудожественная | публицистика	статья	бизнес, коммерция, экономика, финансы	«Совершенно секретно»	2003.04.08	газета
86	14	слушать	опять	0	advmod	"Корифей отечественной журналистики Отто ЛАЦИС предвидит,  что скоро опять будем слушать ""голоса"". Сейчас,  когда речь заходит о свободе слова в России,  принято говорить о возвращении к советской практике цензуры."	Дмитрий Фролов. Цензура с рыночным лицом // «Совершенно секретно», 2003.04.08	Дмитрий Фролов	2003	нехудожественная | публицистика	статья	бизнес, коммерция, экономика, финансы	«Совершенно секретно»	2003.04.08	газета
87	14	слушать	будем	0	aux	"Корифей отечественной журналистики Отто ЛАЦИС предвидит,  что скоро опять будем слушать ""голоса"". Сейчас,  когда речь заходит о свободе слова в России,  принято говорить о возвращении к советской практике цензуры."	Дмитрий Фролов. Цензура с рыночным лицом // «Совершенно секретно», 2003.04.08	Дмитрий Фролов	2003	нехудожественная | публицистика	статья	бизнес, коммерция, экономика, финансы	«Совершенно секретно»	2003.04.08	газета
89	14	слушать	голоса	2	obj	"Корифей отечественной журналистики Отто ЛАЦИС предвидит,  что скоро опять будем слушать ""голоса"". Сейчас,  когда речь заходит о свободе слова в России,  принято говорить о возвращении к советской практике цензуры."	Дмитрий Фролов. Цензура с рыночным лицом // «Совершенно секретно», 2003.04.08	Дмитрий Фролов	2003	нехудожественная | публицистика	статья	бизнес, коммерция, экономика, финансы	«Совершенно секретно»	2003.04.08	газета
90	14	принято	сейчас	0	advmod	"Корифей отечественной журналистики Отто ЛАЦИС предвидит,  что скоро опять будем слушать ""голоса"". Сейчас,  когда речь заходит о свободе слова в России,  принято говорить о возвращении к советской практике цензуры."	Дмитрий Фролов. Цензура с рыночным лицом // «Совершенно секретно», 2003.04.08	Дмитрий Фролов	2003	нехудожественная | публицистика	статья	бизнес, коммерция, экономика, финансы	«Совершенно секретно»	2003.04.08	газета
92	14	заходит	речь	2	nsubj	"Корифей отечественной журналистики Отто ЛАЦИС предвидит,  что скоро опять будем слушать ""голоса"". Сейчас,  когда речь заходит о свободе слова в России,  принято говорить о возвращении к советской практике цензуры."	Дмитрий Фролов. Цензура с рыночным лицом // «Совершенно секретно», 2003.04.08	Дмитрий Фролов	2003	нехудожественная | публицистика	статья	бизнес, коммерция, экономика, финансы	«Совершенно секретно»	2003.04.08	газета
94	14	свободе	о	0	case	"Корифей отечественной журналистики Отто ЛАЦИС предвидит,  что скоро опять будем слушать ""голоса"". Сейчас,  когда речь заходит о свободе слова в России,  принято говорить о возвращении к советской практике цензуры."	Дмитрий Фролов. Цензура с рыночным лицом // «Совершенно секретно», 2003.04.08	Дмитрий Фролов	2003	нехудожественная | публицистика	статья	бизнес, коммерция, экономика, финансы	«Совершенно секретно»	2003.04.08	газета
95	14	заходит	свободе	0	obl	"Корифей отечественной журналистики Отто ЛАЦИС предвидит,  что скоро опять будем слушать ""голоса"". Сейчас,  когда речь заходит о свободе слова в России,  принято говорить о возвращении к советской практике цензуры."	Дмитрий Фролов. Цензура с рыночным лицом // «Совершенно секретно», 2003.04.08	Дмитрий Фролов	2003	нехудожественная | публицистика	статья	бизнес, коммерция, экономика, финансы	«Совершенно секретно»	2003.04.08	газета
96	14	свободе	слова	2	nmod	"Корифей отечественной журналистики Отто ЛАЦИС предвидит,  что скоро опять будем слушать ""голоса"". Сейчас,  когда речь заходит о свободе слова в России,  принято говорить о возвращении к советской практике цензуры."	Дмитрий Фролов. Цензура с рыночным лицом // «Совершенно секретно», 2003.04.08	Дмитрий Фролов	2003	нехудожественная | публицистика	статья	бизнес, коммерция, экономика, финансы	«Совершенно секретно»	2003.04.08	газета
97	14	россии	в	0	case	"Корифей отечественной журналистики Отто ЛАЦИС предвидит,  что скоро опять будем слушать ""голоса"". Сейчас,  когда речь заходит о свободе слова в России,  принято говорить о возвращении к советской практике цензуры."	Дмитрий Фролов. Цензура с рыночным лицом // «Совершенно секретно», 2003.04.08	Дмитрий Фролов	2003	нехудожественная | публицистика	статья	бизнес, коммерция, экономика, финансы	«Совершенно секретно»	2003.04.08	газета
99	14	принято	говорить	0	csubj	"Корифей отечественной журналистики Отто ЛАЦИС предвидит,  что скоро опять будем слушать ""голоса"". Сейчас,  когда речь заходит о свободе слова в России,  принято говорить о возвращении к советской практике цензуры."	Дмитрий Фролов. Цензура с рыночным лицом // «Совершенно секретно», 2003.04.08	Дмитрий Фролов	2003	нехудожественная | публицистика	статья	бизнес, коммерция, экономика, финансы	«Совершенно секретно»	2003.04.08	газета
100	14	возвращении	о	0	case	"Корифей отечественной журналистики Отто ЛАЦИС предвидит,  что скоро опять будем слушать ""голоса"". Сейчас,  когда речь заходит о свободе слова в России,  принято говорить о возвращении к советской практике цензуры."	Дмитрий Фролов. Цензура с рыночным лицом // «Совершенно секретно», 2003.04.08	Дмитрий Фролов	2003	нехудожественная | публицистика	статья	бизнес, коммерция, экономика, финансы	«Совершенно секретно»	2003.04.08	газета
101	14	говорить	возвращении	0	obl	"Корифей отечественной журналистики Отто ЛАЦИС предвидит,  что скоро опять будем слушать ""голоса"". Сейчас,  когда речь заходит о свободе слова в России,  принято говорить о возвращении к советской практике цензуры."	Дмитрий Фролов. Цензура с рыночным лицом // «Совершенно секретно», 2003.04.08	Дмитрий Фролов	2003	нехудожественная | публицистика	статья	бизнес, коммерция, экономика, финансы	«Совершенно секретно»	2003.04.08	газета
102	14	практике	к	0	case	"Корифей отечественной журналистики Отто ЛАЦИС предвидит,  что скоро опять будем слушать ""голоса"". Сейчас,  когда речь заходит о свободе слова в России,  принято говорить о возвращении к советской практике цензуры."	Дмитрий Фролов. Цензура с рыночным лицом // «Совершенно секретно», 2003.04.08	Дмитрий Фролов	2003	нехудожественная | публицистика	статья	бизнес, коммерция, экономика, финансы	«Совершенно секретно»	2003.04.08	газета
103	14	практике	советской	0	amod	"Корифей отечественной журналистики Отто ЛАЦИС предвидит,  что скоро опять будем слушать ""голоса"". Сейчас,  когда речь заходит о свободе слова в России,  принято говорить о возвращении к советской практике цензуры."	Дмитрий Фролов. Цензура с рыночным лицом // «Совершенно секретно», 2003.04.08	Дмитрий Фролов	2003	нехудожественная | публицистика	статья	бизнес, коммерция, экономика, финансы	«Совершенно секретно»	2003.04.08	газета
