	id_sent	head	dep	SCORE	SCORE_KSENIA	type	sent
37	2	дети	гениальные	0	0	amod	От смешанных браков не всегда рождаются гениальные дети.
38	2	рождаются	дети	0	0	nsubj	От смешанных браков не всегда рождаются гениальные дети.
39	3	стоит	пусть	0	0	advmod	Пусть игра стоит свеч
40	3	стоит	игра	3	3	nsubj	Пусть игра стоит свеч
41	3	стоит	свеч	3	3	nsubj	Пусть игра стоит свеч
42	5	сеньке	2	-	-	appos	Было Сеньке 2 с небольшим года.
43	5	года	с	-	-	case	Было Сеньке 2 с небольшим года.
44	5	года	небольшим	2	2	amod	Было Сеньке 2 с небольшим года.
45	5	сеньке	года	0	-	nmod	Было Сеньке 2 с небольшим года.
46	6	гуляния	рекламные	2	2	amod	РЕКЛаМНЫЕ ГУЛЯНИЯ В СеВЕРНОЙ ПАЛЬМиРЕ.
47	6	пальмире	в	0	PREP	case	РЕКЛаМНЫЕ ГУЛЯНИЯ В СеВЕРНОЙ ПАЛЬМиРЕ.
48	6	пальмире	северной	0	0	amod	РЕКЛаМНЫЕ ГУЛЯНИЯ В СеВЕРНОЙ ПАЛЬМиРЕ.
49	7	конце	в	2	PREP	case	В конце прошлого года она провела в подмосковном Новопетровском детском доме новогодний праздник.
50	7	провела	конце	0	0	obl	В конце прошлого года она провела в подмосковном Новопетровском детском доме новогодний праздник.
51	7	года	прошлого	0	0	amod	В конце прошлого года она провела в подмосковном Новопетровском детском доме новогодний праздник.
52	7	конце	года	0	0	nmod	В конце прошлого года она провела в подмосковном Новопетровском детском доме новогодний праздник.
53	7	провела	она	0	0	nsubj	В конце прошлого года она провела в подмосковном Новопетровском детском доме новогодний праздник.
54	7	доме	в	0	PREP	case	В конце прошлого года она провела в подмосковном Новопетровском детском доме новогодний праздник.
55	7	доме	подмосковном	0	0	amod	В конце прошлого года она провела в подмосковном Новопетровском детском доме новогодний праздник.
56	7	доме	новопетровском	0	0	amod	В конце прошлого года она провела в подмосковном Новопетровском детском доме новогодний праздник.
57	7	доме	детском	2	2	amod	В конце прошлого года она провела в подмосковном Новопетровском детском доме новогодний праздник.
58	7	провела	доме	0	0	obl	В конце прошлого года она провела в подмосковном Новопетровском детском доме новогодний праздник.
59	7	праздник	новогодний	0	0	amod	В конце прошлого года она провела в подмосковном Новопетровском детском доме новогодний праздник.
60	7	провела	праздник	0	0	obj	В конце прошлого года она провела в подмосковном Новопетровском детском доме новогодний праздник.
61	8	сегодня	только	0	0	advmod	Только сегодня добрался до возможности ответить на письмо.
62	8	добрался	сегодня	0	0	advmod	Только сегодня добрался до возможности ответить на письмо.
63	8	возможности	до	0	PREP	case	Только сегодня добрался до возможности ответить на письмо.
64	8	добрался	возможности	1	2	obl	Только сегодня добрался до возможности ответить на письмо.
65	8	возможности	ответить	0	0	nmod	Только сегодня добрался до возможности ответить на письмо.
66	8	письмо	на	0	PREP	case	Только сегодня добрался до возможности ответить на письмо.
67	8	ответить	письмо	0	1	obl	Только сегодня добрался до возможности ответить на письмо.
68	10	нравятся	мне	0	0	iobj	Мне очень нравятся светлые замшевые перчатки,  но купить их я не решаюсь.
69	10	нравятся	очень	0	0	advmod	Мне очень нравятся светлые замшевые перчатки,  но купить их я не решаюсь.
70	10	перчатки	светлые	0	0	amod	Мне очень нравятся светлые замшевые перчатки,  но купить их я не решаюсь.
71	10	перчатки	замшевые	0	0	amod	Мне очень нравятся светлые замшевые перчатки,  но купить их я не решаюсь.
72	10	нравятся	перчатки	0	0	nsubj	Мне очень нравятся светлые замшевые перчатки,  но купить их я не решаюсь.
73	10	решаюсь	но	0	0	cc	Мне очень нравятся светлые замшевые перчатки,  но купить их я не решаюсь.
74	10	решаюсь	купить	0	0	xcomp	Мне очень нравятся светлые замшевые перчатки,  но купить их я не решаюсь.
75	10	купить	их	0	0	obj	Мне очень нравятся светлые замшевые перчатки,  но купить их я не решаюсь.
76	10	решаюсь	я	0	0	nsubj	Мне очень нравятся светлые замшевые перчатки,  но купить их я не решаюсь.
77	10	решаюсь	не	0	0	advmod	Мне очень нравятся светлые замшевые перчатки,  но купить их я не решаюсь.
78	10	нравятся	решаюсь	-	-	conj	Мне очень нравятся светлые замшевые перчатки,  но купить их я не решаюсь.
79	12	последователи	нобелевские	2	2	amod	Нобелевские последователи
80	13	крайностями	с	0	PREP	case	Борьба с крайностями
81	14	предвидит	корифей	0	0	nsubj	Корифей отечественной журналистики Отто ЛАЦИС предвидит,  что скоро опять будем слушать "голоса". Сейчас,  когда речь заходит о свободе слова в России,  принято говорить о возвращении к советской практике цензуры.
82	14	журналистики	отечественной	0	0	amod	Корифей отечественной журналистики Отто ЛАЦИС предвидит,  что скоро опять будем слушать "голоса". Сейчас,  когда речь заходит о свободе слова в России,  принято говорить о возвращении к советской практике цензуры.
83	14	отто	лацис	-	0	flat:name	Корифей отечественной журналистики Отто ЛАЦИС предвидит,  что скоро опять будем слушать "голоса". Сейчас,  когда речь заходит о свободе слова в России,  принято говорить о возвращении к советской практике цензуры.
84	14	слушать	что	-	-	obj	Корифей отечественной журналистики Отто ЛАЦИС предвидит,  что скоро опять будем слушать "голоса". Сейчас,  когда речь заходит о свободе слова в России,  принято говорить о возвращении к советской практике цензуры.
85	14	слушать	скоро	0	0	advmod	Корифей отечественной журналистики Отто ЛАЦИС предвидит,  что скоро опять будем слушать "голоса". Сейчас,  когда речь заходит о свободе слова в России,  принято говорить о возвращении к советской практике цензуры.
86	14	слушать	опять	0	0	advmod	Корифей отечественной журналистики Отто ЛАЦИС предвидит,  что скоро опять будем слушать "голоса". Сейчас,  когда речь заходит о свободе слова в России,  принято говорить о возвращении к советской практике цензуры.
87	14	слушать	будем	0	0	aux	Корифей отечественной журналистики Отто ЛАЦИС предвидит,  что скоро опять будем слушать "голоса". Сейчас,  когда речь заходит о свободе слова в России,  принято говорить о возвращении к советской практике цензуры.
88	14	предвидит	слушать	-	0	ccomp	Корифей отечественной журналистики Отто ЛАЦИС предвидит,  что скоро опять будем слушать "голоса". Сейчас,  когда речь заходит о свободе слова в России,  принято говорить о возвращении к советской практике цензуры.
89	14	слушать	голоса	2	3	obj	Корифей отечественной журналистики Отто ЛАЦИС предвидит,  что скоро опять будем слушать "голоса". Сейчас,  когда речь заходит о свободе слова в России,  принято говорить о возвращении к советской практике цензуры.
90	14	принято	сейчас	0	0	advmod	Корифей отечественной журналистики Отто ЛАЦИС предвидит,  что скоро опять будем слушать "голоса". Сейчас,  когда речь заходит о свободе слова в России,  принято говорить о возвращении к советской практике цензуры.
91	14	заходит	когда	-	-	mark	Корифей отечественной журналистики Отто ЛАЦИС предвидит,  что скоро опять будем слушать "голоса". Сейчас,  когда речь заходит о свободе слова в России,  принято говорить о возвращении к советской практике цензуры.
92	14	заходит	речь	2	2	nsubj	Корифей отечественной журналистики Отто ЛАЦИС предвидит,  что скоро опять будем слушать "голоса". Сейчас,  когда речь заходит о свободе слова в России,  принято говорить о возвращении к советской практике цензуры.
93	14	предвидит	заходит	-	-	advcl	Корифей отечественной журналистики Отто ЛАЦИС предвидит,  что скоро опять будем слушать "голоса". Сейчас,  когда речь заходит о свободе слова в России,  принято говорить о возвращении к советской практике цензуры.
94	14	свободе	о	0	PREP	case	Корифей отечественной журналистики Отто ЛАЦИС предвидит,  что скоро опять будем слушать "голоса". Сейчас,  когда речь заходит о свободе слова в России,  принято говорить о возвращении к советской практике цензуры.
95	14	заходит	свободе	0	0	obl	Корифей отечественной журналистики Отто ЛАЦИС предвидит,  что скоро опять будем слушать "голоса". Сейчас,  когда речь заходит о свободе слова в России,  принято говорить о возвращении к советской практике цензуры.
96	14	свободе	слова	2	2	nmod	Корифей отечественной журналистики Отто ЛАЦИС предвидит,  что скоро опять будем слушать "голоса". Сейчас,  когда речь заходит о свободе слова в России,  принято говорить о возвращении к советской практике цензуры.
97	14	россии	в	0	PREP	case	Корифей отечественной журналистики Отто ЛАЦИС предвидит,  что скоро опять будем слушать "голоса". Сейчас,  когда речь заходит о свободе слова в России,  принято говорить о возвращении к советской практике цензуры.
98	14	возвращении	россии	-	-	nmod	Корифей отечественной журналистики Отто ЛАЦИС предвидит,  что скоро опять будем слушать "голоса". Сейчас,  когда речь заходит о свободе слова в России,  принято говорить о возвращении к советской практике цензуры.
99	14	принято	говорить	0	0	csubj	Корифей отечественной журналистики Отто ЛАЦИС предвидит,  что скоро опять будем слушать "голоса". Сейчас,  когда речь заходит о свободе слова в России,  принято говорить о возвращении к советской практике цензуры.
100	14	возвращении	о	0	PREP	case	Корифей отечественной журналистики Отто ЛАЦИС предвидит,  что скоро опять будем слушать "голоса". Сейчас,  когда речь заходит о свободе слова в России,  принято говорить о возвращении к советской практике цензуры.
101	14	говорить	возвращении	0	0	obl	Корифей отечественной журналистики Отто ЛАЦИС предвидит,  что скоро опять будем слушать "голоса". Сейчас,  когда речь заходит о свободе слова в России,  принято говорить о возвращении к советской практике цензуры.
102	14	практике	к	0	PREP	case	Корифей отечественной журналистики Отто ЛАЦИС предвидит,  что скоро опять будем слушать "голоса". Сейчас,  когда речь заходит о свободе слова в России,  принято говорить о возвращении к советской практике цензуры.
103	14	практике	советской	0	0	amod	Корифей отечественной журналистики Отто ЛАЦИС предвидит,  что скоро опять будем слушать "голоса". Сейчас,  когда речь заходит о свободе слова в России,  принято говорить о возвращении к советской практике цензуры.
104	14	возвращении	практике	0	0	nmod	Корифей отечественной журналистики Отто ЛАЦИС предвидит,  что скоро опять будем слушать "голоса". Сейчас,  когда речь заходит о свободе слова в России,  принято говорить о возвращении к советской практике цензуры.
105	14	практике	цензуры	0	0	nmod	Корифей отечественной журналистики Отто ЛАЦИС предвидит,  что скоро опять будем слушать "голоса". Сейчас,  когда речь заходит о свободе слова в России,  принято говорить о возвращении к советской практике цензуры.
106	15	показалось	однажды	0	0	advmod	Однажды Зайцу показалось,  что деревья-водоросли,  небо - вода,  а сам он- рыба.
107	15	показалось	зайцу	0	0	iobj	Однажды Зайцу показалось,  что деревья-водоросли,  небо - вода,  а сам он- рыба.
108	15	вода	что	-	-	mark	Однажды Зайцу показалось,  что деревья-водоросли,  небо - вода,  а сам он- рыба.
109	15	вода	деревья-водоросли	-	-	nsubj	Однажды Зайцу показалось,  что деревья-водоросли,  небо - вода,  а сам он- рыба.
110	15	вода	небо	-	-	nsubj	Однажды Зайцу показалось,  что деревья-водоросли,  небо - вода,  а сам он- рыба.
111	15	небо	вода	0	0	orphan	Однажды Зайцу показалось,  что деревья-водоросли,  небо - вода,  а сам он- рыба.
112	15	он-	а	0	-	cc	Однажды Зайцу показалось,  что деревья-водоросли,  небо - вода,  а сам он- рыба.
113	15	рыба	сам	0	-	amod	Однажды Зайцу показалось,  что деревья-водоросли,  небо - вода,  а сам он- рыба.
114	15	вода	он-	-	-	conj	Однажды Зайцу показалось,  что деревья-водоросли,  небо - вода,  а сам он- рыба.
115	15	деревья-водоросли	рыба	-	-	conj	Однажды Зайцу показалось,  что деревья-водоросли,  небо - вода,  а сам он- рыба.
116	16	№	52003	-	-	appos	Мурзилка№ 052003
117	17	готовился	покуда	0	0	advmod	Покуда наш президент готовился послать Федеральное собрание,  а заодно и всех нас,  покуда он приноравливался сказать о необходимости неуклонного дальнейшего повышения благосостояния народа и удвоении общего нашего богатства через десять лет (это очень,  знаете ли,  по-ленински:  приезжайте к нам,  батенька,  через десять лет),  в городе Волжском,  расположенном в окрестностях Волгограда,  происходили события,  которые делали всю эту мелодекламацию бессмысленной.
118	17	президент	наш	0	0	det	Покуда наш президент готовился послать Федеральное собрание,  а заодно и всех нас,  покуда он приноравливался сказать о необходимости неуклонного дальнейшего повышения благосостояния народа и удвоении общего нашего богатства через десять лет (это очень,  знаете ли,  по-ленински:  приезжайте к нам,  батенька,  через десять лет),  в городе Волжском,  расположенном в окрестностях Волгограда,  происходили события,  которые делали всю эту мелодекламацию бессмысленной.
119	17	готовился	президент	0	0	nsubj	Покуда наш президент готовился послать Федеральное собрание,  а заодно и всех нас,  покуда он приноравливался сказать о необходимости неуклонного дальнейшего повышения благосостояния народа и удвоении общего нашего богатства через десять лет (это очень,  знаете ли,  по-ленински:  приезжайте к нам,  батенька,  через десять лет),  в городе Волжском,  расположенном в окрестностях Волгограда,  происходили события,  которые делали всю эту мелодекламацию бессмысленной.
120	17	готовился	послать	0	0	xcomp	Покуда наш президент готовился послать Федеральное собрание,  а заодно и всех нас,  покуда он приноравливался сказать о необходимости неуклонного дальнейшего повышения благосостояния народа и удвоении общего нашего богатства через десять лет (это очень,  знаете ли,  по-ленински:  приезжайте к нам,  батенька,  через десять лет),  в городе Волжском,  расположенном в окрестностях Волгограда,  происходили события,  которые делали всю эту мелодекламацию бессмысленной.
121	17	собрание	федеральное	1	1	amod	Покуда наш президент готовился послать Федеральное собрание,  а заодно и всех нас,  покуда он приноравливался сказать о необходимости неуклонного дальнейшего повышения благосостояния народа и удвоении общего нашего богатства через десять лет (это очень,  знаете ли,  по-ленински:  приезжайте к нам,  батенька,  через десять лет),  в городе Волжском,  расположенном в окрестностях Волгограда,  происходили события,  которые делали всю эту мелодекламацию бессмысленной.
122	17	послать	собрание	1	1	obj	Покуда наш президент готовился послать Федеральное собрание,  а заодно и всех нас,  покуда он приноравливался сказать о необходимости неуклонного дальнейшего повышения благосостояния народа и удвоении общего нашего богатства через десять лет (это очень,  знаете ли,  по-ленински:  приезжайте к нам,  батенька,  через десять лет),  в городе Волжском,  расположенном в окрестностях Волгограда,  происходили события,  которые делали всю эту мелодекламацию бессмысленной.
123	17	удвоении	а	0	0	cc	Покуда наш президент готовился послать Федеральное собрание,  а заодно и всех нас,  покуда он приноравливался сказать о необходимости неуклонного дальнейшего повышения благосостояния народа и удвоении общего нашего богатства через десять лет (это очень,  знаете ли,  по-ленински:  приезжайте к нам,  батенька,  через десять лет),  в городе Волжском,  расположенном в окрестностях Волгограда,  происходили события,  которые делали всю эту мелодекламацию бессмысленной.
124	17	сказать	заодно	-	0	advmod	Покуда наш президент готовился послать Федеральное собрание,  а заодно и всех нас,  покуда он приноравливался сказать о необходимости неуклонного дальнейшего повышения благосостояния народа и удвоении общего нашего богатства через десять лет (это очень,  знаете ли,  по-ленински:  приезжайте к нам,  батенька,  через десять лет),  в городе Волжском,  расположенном в окрестностях Волгограда,  происходили события,  которые делали всю эту мелодекламацию бессмысленной.
125	17	нас	и	0	-	cc	Покуда наш президент готовился послать Федеральное собрание,  а заодно и всех нас,  покуда он приноравливался сказать о необходимости неуклонного дальнейшего повышения благосостояния народа и удвоении общего нашего богатства через десять лет (это очень,  знаете ли,  по-ленински:  приезжайте к нам,  батенька,  через десять лет),  в городе Волжском,  расположенном в окрестностях Волгограда,  происходили события,  которые делали всю эту мелодекламацию бессмысленной.
126	17	нас	всех	0	0	det	Покуда наш президент готовился послать Федеральное собрание,  а заодно и всех нас,  покуда он приноравливался сказать о необходимости неуклонного дальнейшего повышения благосостояния народа и удвоении общего нашего богатства через десять лет (это очень,  знаете ли,  по-ленински:  приезжайте к нам,  батенька,  через десять лет),  в городе Волжском,  расположенном в окрестностях Волгограда,  происходили события,  которые делали всю эту мелодекламацию бессмысленной.
127	17	повышения	нас	-	-	conj	Покуда наш президент готовился послать Федеральное собрание,  а заодно и всех нас,  покуда он приноравливался сказать о необходимости неуклонного дальнейшего повышения благосостояния народа и удвоении общего нашего богатства через десять лет (это очень,  знаете ли,  по-ленински:  приезжайте к нам,  батенька,  через десять лет),  в городе Волжском,  расположенном в окрестностях Волгограда,  происходили события,  которые делали всю эту мелодекламацию бессмысленной.
128	17	по-ленински	покуда	-	-	advmod	Покуда наш президент готовился послать Федеральное собрание,  а заодно и всех нас,  покуда он приноравливался сказать о необходимости неуклонного дальнейшего повышения благосостояния народа и удвоении общего нашего богатства через десять лет (это очень,  знаете ли,  по-ленински:  приезжайте к нам,  батенька,  через десять лет),  в городе Волжском,  расположенном в окрестностях Волгограда,  происходили события,  которые делали всю эту мелодекламацию бессмысленной.
129	17	приезжайте	он	-	-	nsubj	Покуда наш президент готовился послать Федеральное собрание,  а заодно и всех нас,  покуда он приноравливался сказать о необходимости неуклонного дальнейшего повышения благосостояния народа и удвоении общего нашего богатства через десять лет (это очень,  знаете ли,  по-ленински:  приезжайте к нам,  батенька,  через десять лет),  в городе Волжском,  расположенном в окрестностях Волгограда,  происходили события,  которые делали всю эту мелодекламацию бессмысленной.
130	17	готовился	сказать	0	0	xcomp	Покуда наш президент готовился послать Федеральное собрание,  а заодно и всех нас,  покуда он приноравливался сказать о необходимости неуклонного дальнейшего повышения благосостояния народа и удвоении общего нашего богатства через десять лет (это очень,  знаете ли,  по-ленински:  приезжайте к нам,  батенька,  через десять лет),  в городе Волжском,  расположенном в окрестностях Волгограда,  происходили события,  которые делали всю эту мелодекламацию бессмысленной.
131	17	необходимости	о	0	PREP	case	Покуда наш президент готовился послать Федеральное собрание,  а заодно и всех нас,  покуда он приноравливался сказать о необходимости неуклонного дальнейшего повышения благосостояния народа и удвоении общего нашего богатства через десять лет (это очень,  знаете ли,  по-ленински:  приезжайте к нам,  батенька,  через десять лет),  в городе Волжском,  расположенном в окрестностях Волгограда,  происходили события,  которые делали всю эту мелодекламацию бессмысленной.
132	17	сказать	необходимости	0	0	obl	Покуда наш президент готовился послать Федеральное собрание,  а заодно и всех нас,  покуда он приноравливался сказать о необходимости неуклонного дальнейшего повышения благосостояния народа и удвоении общего нашего богатства через десять лет (это очень,  знаете ли,  по-ленински:  приезжайте к нам,  батенька,  через десять лет),  в городе Волжском,  расположенном в окрестностях Волгограда,  происходили события,  которые делали всю эту мелодекламацию бессмысленной.
